,Twitch Switch,,,,,,,,Total filament (g),,,Unit Cost,Total Cost,Total Print time (hr),,,
C01.15,R6,RES 5.6K OHM 1% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402FT5K60,Digi-Key,RMCF0402FT5K60CT-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402FT5K60/4440018,,
C01.16,R9,RES 215K OHM 1% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402FT215K,Digi-Key,RMCF0402FT215KCT-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402FT215K/1761448,,
C01.17,R10,RES 113K OHM 1% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402FT113K,Digi-Key,RMCF0402FT113KCT-ND,3,5,1, $0.16 , $0.10 , $0.16 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402FT113K/1761462,,
C01.18,"R4, R5",RES 5.1K OHM 5% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402JT5K10,Digi-Key,RMCF0402JT5K10CT-ND,6,1,6, $0.16 , $0.96 , $0.96 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402JT5K10/1758112,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
